Title,Summary,Link,Published Date,country_name,Report ID,Data Points,Reviewed Data Point
افغانستان - راپور مختصر جریان عبور و مرور (۴- ۱۰فبروری ۲۰۲۴) [DARI],با درنظر داشت تحرکات اخیر مردم سازمان بین المللی مهاجرت افغانستان از طریق برنامه سیستم ردیابی بیجاشدگان خود فعالیت نظارت بر جریان عبور و مرور را در شروع سال ۲۰۲۴ دوباره آغاز کرد تا تحرکات و تغییرات عب…,https://dtm.iom.int/reports/afghanstan-rapwr-mkhtsr-jryan-bwr-w-mrwr-4-10fbrwry-2024-dari,2024-02-15,Afghanistan,AfgZHD,0,0
Afghanistan - Flow Monitoring Snapshot (4-10 February 2024) [ENG],In response to recent movements IOM Afghanistan relaunched its DTM Flow Monitoring activity at the beginning of 2024 to better understand the mobility dynamics at Afghanistans borders Since 10 January…,https://dtm.iom.int/reports/afghanistan-flow-monitoring-snapshot-4-10-february-2024-eng,2024-02-15,Afghanistan,AfgB49,0,0
افغانستان - د خلکو د تګ راتګ په اړه لنډ راپور (۴- ۱۰فبروري ۲۰۲۴) [PASHTO],د وروستیو خوځښتونو په ځواب کې آی او ام افغانستان د ۲۰۲۴ په پیل کې د ډي ټي ام پروګرام د خلکو د تګ راتګ د جریان څارنې فعالیت بیا پیل کړل ترڅو د افغانستان په سرحدونو کې د خوځښت او تګ راتګ په اړه ښه پوه ش…,https://dtm.iom.int/reports/afghanstan-d-khlkw-d-tk-ratk-ph-arh-lnd-rapwr-4-10fbrwry-2024-pashto,2024-02-15,Afghanistan,Afg6O8,0,0
Mozambique — Movement Alert Report — 97 (8-14 February 2024),Between 22 December to 12 February a series of sporadic attacks and fear of attacks by Nonstate Armed Groups in Macomia Chiure Mecufi Mocimboa da Praia and Muidumbe triggered the cumulative displaceme…,https://dtm.iom.int/reports/mozambique-movement-alert-report-97-8-14-february-2024,2024-02-15,Mozambique,MozQBN,0,0
Cameroun — Suivi des urgences 90 (10-14 Février 2024),Le suivi des situations durgence en anglais Emergency Tracking Tool  ETT est une des composantes de la Matrice de suivi des déplacements en anglais Displacement Tracking Matrix  DTM déployée par lOrga…mouvements significatifs et soudains de populationsainsi que sur desurgences sécuritaires et climatiquesLes données ont été collectées par observation directe et par des entretiens téléphoniques auprès de quatre informateurs clés principalement des autorités locales des organisations nongouvernementales…,https://dtm.iom.int/reports/mozambique-movement-alert-report-97-8-14-february-2024,2024-02-15,Cameroon,CamMMD,0,0
Nigeria — North-east — Mobility Tracking Round 46 IDP and Returnee Atlas (December 2023),In Round 46 a total of 2305335 Internally Displaced Persons IDPs were identified in 472239 households This signifies a slight increase of less than one per cent or 9801 individuals compared to Round 4…,https://dtm.iom.int/reports/nigeria-north-east-mobility-tracking-round-46-idp-and-returnee-atlas-december-2023,2024-02-14,Nigeria,NigG2T,0,0
Latvia — On the Way Back: Survey with Ukrainian nationals — Annual (2023),Key FindingsTop countries of stayPoland 31 Russian Federation 20 Germany 19 and Czeck Republic 5Intentions49 plan to stay in Ukraine prospective returnees 29 going for a short visit 20 undecided 2 preferred not to answerTop needsgeneral information 83 food supplies 11 shortterm accommodation 3 financial support 3 health services 1 longterm accommodation 1Assistance receivedfinancial support 91 accommodation 67 food supplies 60 personal hygiene and sanitary supplies 30 clothes  shoes 24 transportation 21Destinations in Ukraine86 to the same oblast of origin 14 to a different oblast in Ukraine Donetska 33 Kyiv city 15 Luhanska 12Transport to Ukraineminibus 41 car 27 foot 23Travel mode68 alone and 32 in group Multiple answers possible,https://dtm.iom.int/reports/latvia-way-back-survey-ukrainian-nationals-annual-2023,2024-02-14,Latvia,LatYQY,0,0
Burundi — Suivi des urgences (04 - 10 Février 2024),La DTM a identifié 1772 personnes affectées dont 327 personnes déplacées par les pluies torrentielles et les vents violents dans les provinces de Rutana Cibitoke et Bubanza,https://dtm.iom.int/reports/burundi-suivi-des-urgences-04-10-fevrier-2024,2024-02-14,Burundi,BurAHL,0,0
Thailand - Multisectoral Assessment of Needs 2023 – Chiang Mai province,This factsheet aims to provide a snapshot of multisectoral conditions needs and challenges among Myanmar migrants in Chiang Mai province as captured between October 2023 and January 2024 by IOM Thaila…,https://dtm.iom.int/reports/thailand-multisectoral-assessment-needs-2023-chiang-mai-province,2024-02-14,Thailand,ThaX43,0,0
Ethiopia — Shelter and NFI Snapshot Report (August – September 2023),Between August and September 2023 the International Organization for Migration IOM Data and Research Unit DRU through its Displacement Tracking Matrix DTM methodology deployed the Site AssessmentSA an…,https://dtm.iom.int/reports/ethiopia-shelter-and-nfi-snapshot-report-august-september-2023,2024-02-14,Ethiopia,EthIOG,0,0
Cameroun — Suivi des urgences 89 (06-13 Février 2024),Le suivi des situations durgence en anglais Emergency Tracking Tool  ETT est une des composantes de la Matrice de suivi des déplacements en anglais Displacement Tracking Matrix  DTM déployée par lOrga…mouvements significatifs et soudains de populationsainsi que sur desurgences sécuritaires et climatiquesLes données ont été collectées par observation directe et par des entretiens téléphoniques auprès de six informateurs clés principalement des autorités locales des organisations nongouvernementales ON…,https://dtm.iom.int/reports/ethiopia-shelter-and-nfi-snapshot-report-august-september-2023,2024-02-14,Cameroon,Cam4ZC,0,0
RDC — Nord Kivu: Évaluation Rapide de Crise M23 (14 Février 2024),Depuis 2022 la région orientale de la République démocratique du Congo RDC en particulier le NordKivu est en proie à un conflit dévastateur qui sest intensifié et est devenu de plus en plus complexe a…,https://dtm.iom.int/reports/rdc-nord-kivu-evaluation-rapide-de-crise-m23-14-fevrier-2024,2024-02-14,Democratic Republic of the Congo,DemK4U,0,0
DRC — North Kivu: M23 Crisis Analysis (14 February 2024),Since 2022 the eastern region of the Democratic Republic of Congo DRC in particular North Kivu has been gripped by a devastating conflict that has intensified and become increasingly complex over time…,https://dtm.iom.int/reports/drc-north-kivu-m23-crisis-analysis-14-february-2024,2024-02-14,Democratic Republic of the Congo,Dem63W,0,0
Slovakia — Crossing Back Surveys with Ukrainian Nationals Annual Report (2023),… UKRAINIAN NATIONALS CROSSING BACK TO UKRAINE SLOVAKIA UKRAINE RESPONSE © IOM 2023 2023 ANNUAL REPORT …,https://dtm.iom.int/reports/slovakia-crossing-back-surveys-ukrainian-nationals-annual-report-2023,2024-02-13,Slovakia,SloA58,0,0
"Haïti — Suivi des Urgences 37.1 — Mise à jour sur les déplacements suite aux attaques dans les communes de Carrefour, Cité Soleil et Tabarre (07 - 13 février 2024)",Ces informations ont été recueillies à la suite de diverses attaques armées survenues dans plusieurs quartiers de la capitale depuis le 05 février dans les communes de Carrefour Cité Soleil et Tabarre…,https://dtm.iom.int/reports/slovakia-crossing-back-surveys-ukrainian-nationals-annual-report-2023,2024-02-13,Haiti,Hai3HJ,0,0
Haïti — Cartographie de mobilité dans le Grand Sud — Comprendre la situation de déplacement dans le Grand Sud à travers des cartes (Décembre 2023),Ce document présente une collection de cartes basées sur les données recueillies lors de la première phase Round 1 des évaluations sur la situation de déplacement dans le Grand Sud département du Sud…,https://dtm.iom.int/reports/slovakia-crossing-back-surveys-ukrainian-nationals-annual-report-2023,2024-02-13,Haiti,HaiWWM,0,0
"Haiti — Emergency Tracking Tool 37.1 — Updates on displacement following attacks in Carrefour, Cité Soleil and Tabarre (07 — 13 February 2024)",This information was collected following various armed attacks that occurred in several neighborhoods of the capital since 5 February in the municipalities of Carrefour Cité Soleil and Tabarre This re…,https://dtm.iom.int/reports/haiti-emergency-tracking-tool-371-updates-displacement-following-attacks-carrefour-cite,2024-02-13,Haiti,Hai6M5,0,0
DTM Sudan Weekly Displacement Snapshot 20,OverviewFrom 15 April 2023 armed clashes erupted between the Sudanese Armed Forces SAF and the Rapid Support Forces RSF in multiple cities across Sudan Clashes initially took place in cities across Northern a…HighlightsDTM Sudan estimates that 6217222 individuals 1238945 households were recently internally displaced The IDP caseload was observed in 6709 locations across all of Sudans 18 states  The highest proportions of IDPs were observed across South Darfur 12 River Nile 11 E…DISCLAIMER Since 6 February 2024 Sudan has experienced widespread internetconnectivity blackout As a result some field teams were unreachable and updated information could not be sent from field teams to offices…,https://dtm.iom.int/reports/dtm-sudan-weekly-displacement-snapshot-20,2024-02-13,Sudan,Sud41N,0,0
Afrique de l’Ouest et du Centre — Tableau de bord mensuel sur la situation en République Centrafricaine 16 (Janvier 2024),La République centrafricaine RCA souffre dinstabilité depuis deux décennies La dernière crise atteignant le pays a débuté en 2012 suite à une prise du pouvoir violente et a depuis évolué en un état di…3937845individusaffectés y compris512 805personnes déplacées internesPDI 13 de la population déplacée2 125 798 retournés anciennes PDI54513 037 retournés de létranger13 et786 205 réfugiés20  En RCA les personnes retournées  anciennement déplacées internes représentent la majeure partie de la population affectée  Les réfugiés centrafricains ont pris principalement refuge au Cameroun 35…32 442réfugiésvenus du Soudan 21 816 individus  de la RDC 6 411 du Sud Soudan 2 726 individus  et du Tchad 1 489 individus,https://dtm.iom.int/reports/dtm-sudan-weekly-displacement-snapshot-20,2024-02-13,West and Central Africa,WesSP8,0,0
Afrique de l’Ouest et du Centre — Tableau de bord mensuel sur la crise du Liptako Gourma 45 (Janvier 2024),La région du Sahel central et plus particulièrement la zone du Liptako Gourma qui enjambe le Burkina Faso le Mali et le Niger est témoin dune crise complexe qui comprend comme enjeux une compétition g…3 021 235individussont déplacés  y compris2 636 880personnesdéplacéesinternes87 de la population affectée  et384 355réfugiés13 de la population affectée  Soixante dix pour cent des individus2 100 130personnesse situaient auBurkina Faso14 pour cent résidaient auMali419 468personnes10 pour cent auNiger288 734personneset 4 pour cent enMauritanie110 997personnesLe recent déversement de cette crise vers les pays côtiers  à savoir la Côte dIvoire le Ghana le Togo et le Bénin  fait prevue dun nombre croissant de réfugiés arrivant du Sahel central vers ces pays…101 906individusaffectés dans ces quatre pays réunis 9 899 au Bénin  38 497 en Côte dIvoire 7 205 au Ghana et 46 305 au Togo dont un total de30 372déplacésinternes,https://dtm.iom.int/reports/dtm-sudan-weekly-displacement-snapshot-20,2024-02-13,West and Central Africa,WesUQP,0,0
